Designator,Comment,Description,Manufacturer Part Number,Supplier Part Number,Quantity
,,,,,
TP1,5015,PC TEST POINT MINIATURE,5015,36-5015CT-ND,1
U2,BQ24073,IC LI-ION CHARGE MGMT 16-QFN,BQ24073RGTR,296-38872-1-ND,1
U1,BQ27441,IC BATT FUEL GAUGE LI-ION 12SON,BQ27441DRZR-G1A,296-39941-1-ND,1
LS1,PS1720P02,AUDIO PIEZO TRANSDUCER 30V TH,PS1720P02,445-2527-ND,1
J3,S2B-PH-SM4-TB(LF)(SN),CONN HEADER SMD R/A 8POS 3MM,S2B-PH-SM4-TB(LF)(SN),455-1749-1-ND,1
D1,USBLC6-2SC6,TVS DIODE 5.25V 17V SOT23-6,USBLC6-2SC6,497-5235-1-ND,1
U4,STM32L072KZT6,IC MCU 32BIT 192KB FLASH 32LQFP,STM32L072KZT6,497-19668-ND,1
"FB1, FB2, FB3",300R @ 100MHz,FERRITE BEAD 300 OHM 0603 1LN,742792641,732-1592-1-ND,3
L1,2.2u,FIXED IND 2.2UH 1.8A 66 MOHM SMD,744025002,732-2613-1-ND,1
"J2, J4",61300211121,CONN HEADER VERT 2POS 2.54MM,61300211121,732-5315-ND,2
"J1, J5, J6",61300411121,CONN HEADER VERT 4POS 2.54MM,61300411121,732-5317-ND,3
S1,4.52403E+11,SWITCH SLIDE DPDT 300MA 6V,4.52403E+11,732-10145-1-ND,1
"D5, D6, D7",Orange,LED ORANGE CLEAR 0805 SMD,APT2012SECK,754-1130-1-ND,3
D8,Green,LED GREEN CLEAR 0805 SMD,APT2012SGC,754-1131-1-ND,1
D4,Red,LED RED CLEAR 0805 SMD,APT2012SURCK,754-1133-1-ND,1
D3,Yellow,LED YELLOW CLEAR 0805 SMD,APT2012SYCK,754-1134-1-ND,1
D2,Blue,LED BLUE CLEAR 0805 SMD,APT2012QBC/D,754-1437-1-ND,1
"C6, C18",47p,CAP CER 47PF 50V C0G/NP0 0603,CL10C470JB8NNNC,1276-1037-1-ND,2
"C1, C11, C12, C13",100n,CAP CER 0.1UF 16V X7R 0603,CL10B104JO8NNNC,1276-1061-1-ND,4
"C2, C4, C5",4.7u,CAP CER 4.7UF 16V X5R 0603,CL10A475KO8NNNC,1276-1784-1-ND,3
C3,470n,CAP CER 0.47UF 16V X5R 0603,CL10A474KO8NNNC,1276-1897-1-ND,1
"C10, C14, C15, C17",1u,CAP CER 1UF 16V X7R 0603,CL10B105KO8NFNC,1276-1943-1-ND,4
"C8, C9",22u,CAP CER 22UF 10V X5R 0603,CL10A226MPMNUBE,1276-6751-1-ND,2
"C7, C16",10u,CAP CER 10UF 16V X6S 0603,CL10X106MO8NRNC,1276-6769-1-ND,2
U3,AP3429AKTTR-G1,IC REG BUCK ADJUSTABLE 2A TSOT25,AP3429AKTTR-G1,AP3429AKTTR-G1DICT-ND,1
Q1,DMG2301L-7,MOSFET P-CH 20V 3A SOT23,DMG2301L-7,DMG2301L-7DICT-ND,1
"R7, R17, R18, R19, R20, R21, R22",1k,RES SMD 1K OHM 1% 1/10W 0603,ERJ-3EKF1001V,P1.00KHCT-ND,7
R10,1.1k,RES SMD 1.1K OHM 1% 1/10W 0603,ERJ-3EKF1101V,P1.10KHCT-ND,1
R11,1.78k,RES SMD 1.78K OHM 1% 1/10W 0603,ERJ-3EKF1781V,P1.78KHCT-ND,1
"R3, R5, R6, R8, R9, R14, R15, R16",10k,RES SMD 10K OHM 1% 1/10W 0603,ERJ-3EKF1002V,P10.0KHCT-ND,8
"R1, R2, R23, R24, R25, R26, R27, R28",22R,RES SMD 22 OHM 1% 1/10W 0603,ERJ-3EKF22R0V,P22.0HCT-ND,8
R13,30k,RES SMD 30K OHM 1% 1/10W 0603,ERJ-3EKF3002V,P30.0KHCT-ND,1
R12,120k,RES SMD 120K OHM 1% 1/10W 0603,ERJ-3EKF1203V,P120KHCT-ND,1
R4,10m,RES 0.01 OHM 1% 1/10W 0603,ERJ-3LWFR010V,P19180CT-ND,1
U5A U5B,NPPN101BFCN-RC,CONN HDR 10POS 0.079 GOLD PCB,NPPN101BFCN-RC,S5751-10-ND,2
